sentence,profane
ug igasulat mo kini sa mga haligisapultahan sa imong balay,
giswerte siya ug nidaog sa lotto,0
daghan mga kalapati galupad sa kilid sa dagat sa kastilyo,0
kong ang adlaw misubang na sa ibabaw niya,0
daghang mga hapon sa siyudad ni silvestre,0
hapit na mubidlisi ang adlaw,0
nangatol ang akong mga mata,0
pingk ang balas didto na baybay,0
ug si elisama ug si eliada ug si eliphelet,0
ingna sa akoa kung unsa imong gibuhat sa hawaii,0
walay nasayod kung ngano kini nahitabo,0
nahimo niya sa ulahi,0
ug ang panganod ni jehova diha sa ibabaw nila sa adlaw,
sa ilang kaugalingon nga panigingnan adunay sala,0
ug ang mga tinubdan usab sa kahiladman,
natilawan nako iyang libro,0
ug nahitabo sa katapusan sa upat ka gatus ug katloan ka tuig,
ang iyang patayng lawas una nga gilubong sa arlington national cemetery,0
lakaw ngadto sa atubangan sa usa ka tawong buangbuang,0
biyai ng trabaho sa mga hanas,0
ug nakaabot ra gud ta sa lawa,0
wala man gyod na hunungdan,0
sasha ang akong pangalan,0
nagpasalamat ako alang sa mga bakasyon,0
ingon niini mipuyo ang israel didto sa yuta sa mga amorehanon,
wala nay mabuhat imong pagbasol sa iyaha sa aksidente,0
ang akong nasud layo ra sa japan,0
daghang suba sa pransya,0
hello pwede ba nako makastorya si maria,0
isuwat nimo ang imong apelyido sa ikaupat nga linya,0
ug ang mga anak ni machir,
layo kaayo ang kabayo sa balay,0
pirme kang nagpalaban bisan klaro na nga ikaw ang sayop,0
nagtaxi ko kay nagulan,0
ako mao ang maayong magbalantay sa mga karnero ang maayong magbalantay sa mga karnero magahalad sa iyang kinabuhi sa pagpakamatay alang sa mga karnero,0
dili kaayo maayo ang akong pamati,0
makita dinhi ang dagat og walay gabon,0
gusto kong muhatag nga walay gihulat nga kambyo,0
ug kini mao ang mga anak nga lalake ni suthala kang heran,
nakahanay ang balay nila sa punsoy,0
niadto siya para sunduon ko,0
sa tinggutom magaluwas siya kanimo gikan sa kamatayon ug sa gubat gikan sa kagahum sa espada,0
kini mao ang kasugoan sa pangabugho,
sa atubangan sa dios ug ni cristo jesus nga mao ang magahukom sa mga buhi ug sa mga patay,0
ug mipalit siya ug usa ka bahin sa kapatagan didto diin gibuklad niya ang iyang balongbalong,
katapusan sa hulyo karon,0
ariglado na ang papelis para sa imung byahi,0
kini ang labing taas nga punto sa negros,0
nagbuhat ug manggang nga jos si daniel,0
ug igadugtong sila nganha kanimo,
adunay mga punoan sa sinegwelas tapad sa kastilyo,0
ug si jehova mitubag kaniya kinsa man diay ang nagbuhat sa baba sa tawo kun kinsa ba ang nagbuhat sa tawo nga mama,
nahutdan kita og krema,0
nabaggaan ang makalolooy nga mananap og kotse,0
si jaijai wala makakita sa iyang pamilya sa  ka tuig gikan sa pagapil sa npa,
apan imbes nga mahadlok,0
si teteng kay gainom og duga sa sampalok,0
ingon nga usa ka lungsod nga daplin sa baybayon,0
may ikasugyot ka bang nindot nga kananan,0
wala na koy panahon makigistorya sa imuha,0
ug si balac miingon kang balaam unsa ang imong gibuhat kanako ako nagkuha kanimo aron sa pagtunglo sa akong mga kaaway,
asa nga linya sa bus ang imong kuhaon,0
usa sa ikanapulo ka bahin alang sa tagsatagsa ka nating carnero gikan sa pito ka mga nating carnero,
apan kong ang sacerdote magahiling sa sakit sa pono,
daghang budista didto sa parke,0
wala maminaw kon dili mosunod,0
bakgrawni ako inigtabok nako,0
mahimo maski unsang libro,0
pirme ka lang gaatubang sa salamin,0
pirmi siya nagasuot og asul nga sanina,0
mukaon ba sila sa bodbod ug tamalis,0
pasensya lang dili ko makaadto kay daghan ko ug trabahoonbuluhaton,0
nagpuyo sa galaksiyang andromeda,0
gawas pa sa mga langgam,0
ug pagahuboon niya ang bisti sa iyang pagkabinihag,
naa unta tay nabuhat alang ani,0
daku ug paa imohang iro,0
dili ba ka katulugon,0
makatawa ang iyang pag istorya og iningles,0
aduna sa  ang gikataho nga namatay,
kung imong hikapon mura rag seda,0
ug siya magasugo nga libuton pagkiskis ang sulod sa balay,
ug si jehova nga dios nagingon sa bitin tungod kay ikaw nagbuhat niini,0
ning kanta sya ug kanta,0
ang mga sakop gihinganlan george matthai,0
mokaon og menudo si nestor,0
kun mo bangon si brunhild dili maayo ang iyang gibati,0
oktubre ang umabutay nga bulan,0
ang mister mamahimong molingkod diri,0
ug si jehova miingon kang moises didto sa median lumakaw ka,
ug ang hasarsual ug bala ug esem,0
ug si moises mitungas ngadto sa dios,0
ayaw tugti na buhaton ni tom,0
naglakaw ko nga naginusara,0
kahibalo ba ka magluto,0
nahutdan sad ta ug itlog,0
ug ilang gidala ang ulo ni isboseth ngadto kang david didto sa hebron,0
ang marte kay puno og mga desyerto o ilang,0
gi hungit ni trixie and isa ka kutsarita na maja blanca sa iyang anak na lalake,0
itomon ang bulak na gamay,0
ug sa mga vaca katloan ug unom ka libo,0
guba pirmi imong mga gipaningkamotan,0
apan kong ang iyang halad nga sa haladsapakigdait alang kang jehova kinuha sa panon sa kahayupan bisan lake kun baye,
ug ang sacerdote magahiling sa tapus na mahugasi ang lama sa sakit ug,
sa katingala ko buhi siya,0
ug sa ikalima ka adlaw,
murag dili man kana katuohan,0
ang pinakadako nga pagatake sa moro nahitabo sa pagsulong sa usa ka armado sa vintas,
busog na ang bata nga laki,0
daghang babae didto sa parke,0
ug nanagpuyo sila gikan sa havila hangtud sa shur nga diha sa atbang sa egipto sa magapadulong ikaw ngadto sa asiria ug mipuyo siya sa atbang sa tanan niyang mga igsoon,
bagay sa imuha ang lunhaw,0
nagaluto ug pintos si leo,0
apan kong ang mamumuno sa bisan unsang panahona molakaw ngadto sa unahan sa utlanan sa lungsod nga dalangpanan,
wa kay respeto sa mga tawo nga mitabang nimo,0
unya ang duruha ka tawo nga magabatok mangatubang sa atubangan ni jehova,
daghang tawo ang gahunahuna nga buangbuang ko,1
kini makita lang sa pilipinas kung diin kini gipugngan sa mga isla sa panay,0
apan ang inyong mga bata nga gagmay,
sige ra kag reklamo bisan walay klaro nga rason,0
kabalo ba si tom nga di nato na kaya,0
sa adlaw nga misunod miingon ang magulang sa manghud,0
ang mga sacerdote dili magakaon sa bisan unsang butanga nga namatay sa iyang kaugalingon,0
walay gihatag nga dagami sa imong mga ulipon,
hain ang akong pitaka,0
ang kasuko sa usa ka buang mahibaloan dayon sa dayag apan ang usa ka mabinantayong tawo nagabaton ug kaulaw,1
ayaw paminaw sa iya,0
apan hugasan niya sa tubig ang mga sulod sa lawas ug ang mga paa niini ug ang sacerdote magasunog sa tibook sa ibabaw sa halaran,
walay nakatago nga di makitan,0
gahig ulo di kasabot,0
wa kay abilidad nga makatrabaho og maayo,0
kinsa pa ang nakabalo,0
pirme kang gaingon nga ikaw ang sakto bisan klaro nga sayop ka,0
kinsay dili gatugon saamoa,0
ug miingon ang dios buhaton nato ang tawo sumala sa atong dagway,0
wala diri ang bata,0
usa ka tawo ang kumpirmadong namatay samtang ang usa nawala sa bagyong sally sa alabama,0
dili ba dapat ta mahimong magka amigo,0
busa si david mipahawa didto,0
adunay mga tanom na gumamela nakapalibot sa kastilyo,0
mas ganahan ko og itlog sa pugo,0
kini maabut pinaagi sa usa ka minutos nga pagsakay sa motor nga bangka gikan sa baryo sa malatapay,
wa kay baruganan bisan unsaon pa ka pagpatambag,0
pirme kang nagdala ug problema,0
ang dakbayan sa dapitan kay usa ka ikaduhang klase nga dakbayan nahimutang sa probensya sa zamboanga del norte,0
nakalimtan na ba ko niya,0
apan kong ang tawo walay kaubanan nga pagahatagan sa inuli tungod sa sala,
ang tiyera kay mas gamay kumpara sa adlaw,0
moanhi sa among lungsod ang kato nga banda ugma,0
kini ang bibliya sa baseball,0
naghatag kini nahabilin sa mga panginahanglanon sa koral,0
wala ba sila nagdugay sa lingsod,0
sa akong hunahuna kinahanglan muhawa na kami ako pod,0
ug sa mga anak sa israel magasulti ka,0
nakitan na nako na,0
linyahe ug duha ka linya,0
ug ang sacerdote magkuha gikan niadto nga haladngakalanon,
sa tanan nga mananap nga mahinlo kumuha ka ug tinagpito,
naa sa tuo ang gawasanan,0
ilado ang tenis sa mga magtutungha,0
bata ba nga lalaki o babae,0
ang tanan nga butang nga makasukol sa kalayo pagapaagihon ninyo sa kalayo,
apan ang asawa ni lot nga didto sa ulahi,
daghang mga kabataan sa siyudad ni silvestre,0
bisan kung taas ang prosesyon magpadayon kini sa simbahan,0
ug nahitabo nga sa pagabut ni jose sa iyang mga igsoon,
kabalo siya nga dili siya modaog,0
pagdali sa pagtabang kanako oh ginoo nga akong kaluwasan,0
dili ako makakaon og hilaw nga itlog kinahanglan nga magluto,0
nagalay ko ug mga pagkaon para sa iyaha,0
palpak ka pirmi bisan sa gagmay nga mga butang,0
ug mitubag si raquel ug si lea,
lisod ba mokaon gamit ang sipit,0
una nga nanawagan si papa francis alang sa suporta alang sa hustisya sa rasa dungan sa pagpatay kay george floyd kaniadtong mayo,0
uy magpahuway sa ta diri,0
naka tulog ko sa tungtunga sa konsyerto,0
unsay imo gibuhat karun adlawa,0
gipadayon niya nga magbasa ug libro,0
si luis kay lalaki nga maayo sa musika,0
wala nimo nahisgutan nga mupalit ka og pan,0
ug nagluto si jacob ug sudan nga sinabawan ug mipauli si esau gikan sa kapatagan ug gikapuyan siya,
nagaluto ug gabi si leo,0
hungog walay paglaban sa pulong walay kasingkasing mabangis,0
nakapalong tibuok adlaw ang akoang kompyuter,0
kinahanglan kong mag ula,0
ug siya nangutana kanila unsa bay inyong gipakiglantugian kanila,0
ang iyang aso nagatubo hangtud sa kahangturan,0
asa ko makapalit og libro,0
usa ka tasa sa tsa palihog,0
naay pila ka mga hayop nga katingadan sa su,1
kang simeon si selumiel,
ug may gubat na usab batok sa mga filistehanon ug si elhanan anak nga lalake ni jair mipatay kang lami ang igsoon nga lalake ni goliat ang hetehanon,0
naay nanuktok sa pultahan,0
mopauli ko inig sunod tuig didto sa among baryo,0
nagaluto ug sisig ug nilaga si leo,0
tawagi ko kon kabalo na ka unsa imong buhaton,0
ug nangabut ang mga magbalantay sa kahayupan,0
hangtud nga pigot ang habol pagtuon og tikuko,0
usa ka lake sa mga kanding alang sa haladtungodsasala,
ginaunsa pagingon ang mansanas sa imong sinultian,0
sa kadaghang ikasa nga milyong nya nahimong mga milyon,0
dili pula ang imong mata,0
ang davao river mao ang unang kanal sa lugar,0
tanawa gisuginlan ko na kamong daan,0
apan sa pagkamatay na ni herodes,0
igo na niya ang kasamtangang kahimtang,0
ug kini pagadadon niya ngadto sa sacerdote,
naghikay og samporado si amanda alang sa mga bata,0
kini nga tuig swerte alang kaniya,0
pirme kang nagdaot ug plano sa uban,0
kinahanglan kong kanselahon ang akong tigum,0
nilingkod siya duol sa iyaha,0
apan nahitabo nga sa gibalik niya pagsulod ang iyang kamot,
matod kay police colonel dario menor,0
pahalayo kamo gikan sa kinataliwadan niining katilingban,
sugod enero hangtod agosto,
nadakpan na daan sauna si betty sa pagpangawat,0
sa nahauna sa inyong minasa,
uban sa tinapay nga manipis nga may levadura igahalad niya ang iyang halad uban sa iyang mga haladsapakigdait alang sa pasalamat,
ug unya iyang gipaadto ang lain pa,0
unya mao kini nga sa adlaw nga pagabuhaton niya ang pagpapanunod sa iyang mga anak nga lalake sa iyang bahandi,
makitan ni silvestre ang tawo sa suroyanan,0
sa mga istorya lamang,0
katong ako naa sa kama gipaanhi ko siya,0
kang aser si phegiel,
ug sa nasayran niya sa kapitan nga siya patay na,0
unsa nga barko ang imong nakitan,0
humana siya og kaon sa iyang pamahaw,0
ang mga proverbio ni salomon ang usa ka anak nga manggialamon maoy kalipay sa iyang amahan apan ang usa ka anak nga buangbuang maoy kaguol sa iyang inahan,1
mga panday ang amahan og lumon nako nga babaye,0
ug si laban miingon kang jacob tungod kay ikaw akong igsoon,
ug kong ang tawo dili buot magadawat sa asawa sa iyang igsoon,
ug buklaron nila sa ibabaw niini ang tabon nga mapula,
mokaon og nilagang baka si nestor,0
adunay isda nga mulupad,0
nag karate ang mga bata sa grahe,0
gawas pa nila santiago ug ni reyes,0
gigukod sa iring ang ilaga,0
nawala nako ang akong pitaka,0
apan ang pagabuhaton nimo ingon niini kanila pagagubon ninyo ang ilang mga halaran,
sa inglatera ang adlaw sa pagtrabaho ginaselebrar pag mayo,0
bayolet og asul ang kolor,0
gusto ba ninyo mulingkod,0
unsa kadaku ning parkeha,0
kinahanglan gayud nga pagalainon mo ang ikapulo ka bahin sa tanan nga abut sa imong binhi,
kini ang among higala nga si tom,0
murag lami gusto nako tilawan,0
mahinuduman nga niadtong panahon sa house speaker row gihimo nga isyu ky dating house speaker cayetano and dili patas na paghatag og pondo sa infrastraktura nga giingon gidapigan niya ang uban nga mahistrado sumala pa sa mga kaalyado ni marinduque representative sauna nga sa karon house speaker representaive na nga si velasco,0
tungod sa mga caldeahanon kay sila nangahadlok kanila,0
di na siya malipayong babaye di parehas sauna,0
ang humpback grouper nagpuyo sa tinaw nga tubig gikan sa mga laguna ug dagat nga mga bahura nga mas gusto sa mga patay o maasin nga lugar,0
ang mga tawong manggialamon nagatigum ug kahibalo apan ang baba sa buangbuang mao ang usa ka pagkalaglag karon,1
mas datu siya kaya sa bisan kinsa diri sa lungsod,0
ug nagsugo si moises sa katawohan niadtong adlawa nga nagaingon,0
ug akong pagabuhaton kanimo ang usa ka daku nga nasud,
himuon namo ni nga gamay,0
aron nga maingon nga ang sala mihari diha sa kamatayon,0
ni sirit ang dugo sa iyang samad,0
tanan nalang pangitaan nimog sayop,0
siya andam sa pagatubang sa iyang kapalaran,0
dili lalim ang covid tungod ky nakamatay kini,
ug ang mga boangboang miingon sa mga butan,0
nidagan siya pababa sa hagdanan,0
si tom kay makadaan,0
ug ang mga anak ni benjamin mao si bela,
busa ilang gipatay ang mga lakeng vaca,0
wala pa ko nahuman sa imo,0
suminggit ug magminatay ka,0
ang bukid mao ang nahimutangan sa mascap spring,0
ug namatay si sara didto sa kiriatharba,0
si fred ang bago ninyong tumatabang,0
wa ka gitugtan og anha dira sa sulod,0
gaatubang ug hagit si tomas,0
ug gikan kang jesucristo,0
ug gipapanumpa ni jose ang mga anak ni israel,
naay mga bulak sa balay,0
kontra kaayo nako akong silingan,0
gibutngan ni ninoy og lubi ang iyang puto bumbong,0
ug kong usa ka tawo magabaligya ug balay nga puloyanan sa lungsod nga pinarel,
ug si jehova nagbuhat sumala sa pulong ni moises,0
siya adunay usa ka partikular nga interes sa karaang grego ug romano nga pilosopiya,0
ang luneta nahimutang sa amihanang tumoy sa roxas boulevard,0
ug miingon si laban kang jacob unsay gibuhat nimo nga mikalagiw ka sa hilum,
naa pud dira si tom,0
dunay mga trabaho ang tanan kong igsuon,0
ug si jair namatay ug gilubong sa camon,0
ug dugang pa niana,0
ang nakitan nga uwat nagpaila nga ang mga mamamatay nga balyena orcas mahimong makuha sa mga humpbacks sa juvenile,0
apan ang tinuod mao nga si cristo gibanhaw gikan sa mga patay,0
lima katuig na sukad sa ulahi tikang nakitan,0
wala madugta ang patay niyang lawas bisan pa pipila ka dekada na ning gilubong,0
ang atong eskuwelahan karon naa sa tungatunga na,0
ug ang tanan nga mga adlaw ni noe siyam ka gatus ug kaliman ka tuig ug namatay siya,
dili ko anang ipokresiya,0
ang salabutan maoy usa ka atabay nga tuburan sa kinabuhi niadtong nagabaton niini apan ang pagsaway sa mga buang mao ang ilong binuang,1
ang mga anak ni lotan mao si hori,
isulat ang inyong mga pangalan sa dagko nga letra,0
salamat sa mga nindot nga mga buwak,0
mogaling sila sa tubo run,0
kinahanglan gayud nga ako masulti kay tom,0
ang mga espisye gipagula sa malaysia ug pilipinas,0
ang pagbasa og libro ginapamatngun ka,0
gihulga si george sa pagkamatay pinaagi sa ekstremor nga katungod sa ekstremista nga si theodore shulman,0
nagtagbo ang ilang mga mata,0
nasa ibabaw sa lamisa,0
ang gusto nako kay makabalo og pagpinta sa paris,0
sa ingon niana pagabuhaton niya niadtong lakeng vaca ang iyang gibuhat niadtong lakeng vaca sa haladtungodsasala mao usab ang iyang pagabuhaton niini ang sacerdote magahimo ug halad sa pagtabonsasala alang kanila,
pagtuo ba nimo nangatik ra ko,0
ang mga oras sa pagtrabaho alang sa mga sulugoon sa panimalay dili katalagman,0
ug si uzzias nga hari maoy usa ka sanlahon hangtud sa adlaw sa iyang kamatayon,0
suman ang gina kaon ni joel sa kusina,0
sa imuha na ang desisyon kung unsa ang himuon,0
abri ang kahon ug walay sulod,0
pag hugas didto ug kamot,0
kining tanan akong kursunadahan,0
wa ko kabalo kanusa pero mahitabo na usa ka adlaw,0
gitawagan ni tom si mary,0
walay kolon nga walay saktong lakang,0
nalata ang mga gulay sa bukag,0
ngano nga mawadan ako kaninyong duruha sa usa ka adlaw,0
ug ang katilingban magaluwas sa mamumuno gikan sa kamot sa magapanimalus sa dugo,0
ipamulong mo kang aaron ug sa iyang mga anak nga lalake,
wala nay mahimo ang pagbasol nimo sa iyaha sa aksidente,0
dili namo malikayan nga mahibulong sa iyang talento,0
ug akong ligonon ang mga bukton sa hari sa babilonia,0
dili mo paglupigan ang imong isigkatawo,
