pos_tagged,label
|AN|DTC |LALAKI|NNC |ASIN|NNC |BABAE|NNC parehong|JJC|CCP |HUBA|FW |ALAGAD|NNC |DAI|CCT |SINDA|FW |NASOPOG|FW,0
nahiling|VBTS|CCP |KAN|RBW |BABAE|NNC |MAGAYON|VBW |AN|DTC |KAHOY|NNC |ASIN|NNC |GARO|RBM |MASIRAM|VBW |PAGKAKANON|VBW |AN|DTC |BUNGA|NNC |KAINI|FW |PATIN|FW |NAISIP|VBTS |NIYA|PRS |AN|DTC |KAHOY|NNC |MAKAKATAO|VBW |NIN|FW |KADONONGAN|NNC,0
|KAYA|CCR |KUMINUA|VBAF kan|PRSP|CCP |BUNGA|NNC |DANGAN|NNC |KUMINAKAN|NNC |DANGAN|NNC |TINAWAN|VBOF |MAN|RBI |NIYA|PRS |AN|DTC saiyang|JJD|CCP |AGOM|FW |ASIN|NNC kuminakan|VBTR|VBAF |MAN|RBI |INI|FW,0
|DANGAN|CCB |TINAWAN|VBOF |MAN|RBI |NIYA|PRS |AN|DTC saiyang|JJD|CCP |AGOM|FW |ASIN|NNC kuminakan|VBTR|VBAF |MAN|RBI |INI|FW,0
|PAKATAPOS|RBD nindang|RBD|CCP |MAGKAKAN|VBW |NAGKAIGWA|VBTS |SINDA|FW |NIN|FW |PAKASABOT|FW |ASIN|NNC |NAARAMAN|CCB |NINDA|FW |SINDA|FW |HUBA|FW |KAYA|CCR |NAGTAHI|VBTS |SINDA|FW |NIN|FW |DAHON|NNC |KAN|NNC |HIGERA|CCT |DANGAN|NNC |GINIBO|NNC |NINDA|NNC |INING|NNC |PANTAHOB|NNC |SAINDANG|NNC |HAWAK|NNC,0
|NADANGOG|VBTR |TAKA|FW |TATAMNAN|FW |NATAKOT|VBTS |KAYA|CCR |NAGTAGO|VBTS |HULI|RBW |TA|NNC |HUBA|NNC,0
|TANO|FW |TA|FW |GINIBO|FW |INI|FW,0
|DINAYA|VBTS |KAN|RBW |HALAS|NNC |KAYA|CCR |NAGKAKAN|VBTR,0
|DADAGDAGAN|VBTF |AN|DTC |KULOG|NNC |TITIOSON|NNC |SAIMONG|NNC |PAGBADOS|NNC |ASIN|NNC |PAGAKI|NNC |ALAGAD|NNC |DAI|NNC |MAWAWARA|VBW |AN|DTC saimong|JJD|CCP |PAGMAWOT|NNC |PARA|CCT saimong|JJD|CCP |AGOM|FW |ASIN|NNC |AN|DTC saimong|JJD|CCP |PAGKUKUYOGON|NNC,0
|HULI|RBW |TA|CDB |DINANGOG|VBOF |AN|DTC saimong|JJD|CCP |AGOM|FW |ASIN|NNC |NAGKAKAN|VBTS |KA|PRS kan|PRSP|CCP |BUNGA|NNC |DAI|CCT |SAIMO|NNC |IPINAPAKAKAN|VBTR |ISINUSUMPA|VBTR |AN|DTC |DAGA|NNC |HULI|RBW |SAIMO|NNC |KAIPUHAN|CCB maglapigot|VBTF|VBAF |KA|PRS |PAGTRABAHO|NNC |BILOG|JJD mong|PRS|CCP |BUHAY|NNC tanganing|VBOF|CCP magkaigwa|VBAF|CCP |KA|PRS |NIN|FW |PAGKAKAN|NNC,0
|MATALUBO|JJD |DAGA|NNC |AN|DTC |DOOT|NNC |SAKA|CCA |TONOK|NNC |ASIN|NNC |MAPIPIRITAN|VBW kang|PRS|CCP |MAGKAKAN|VBW |NIN|FW |TINANOM|FW |KADLAGAN|NNC,0
|NGUNYAN|VBTS |AROG|FW |SATUYA|FW |AN|DTC |TAWO|NNC |ARAM|NNC |NIYA|PRS |AN|DTC marahay|PRI|CCP |ASIN|NNC |AN|DTC |MARAOT|FW |KAIPUHAN|FW |DAI|FW |MAKAKAKAN|VBTF kan|PRSP|CCP |BUNGA|NNC |KAN|RBW |KAHOY|NNC |NAGTATAO|VBTR |NIN|FW |BUHAY|NNC |ASIN|NNC |MABUHAY|VBW |SAGKOD|RBW |LAMANG|RBI,0
|KUN|FW |MAGTANOM|FW |KA|PRS |MAYO|JJD kang|PRS|CCP |AANIHON|VBTF |IKA|JJN |MAGIGIN|VBTF sarong|NNC|CCP |PARADULAG|JJD |ASIN|NNC sarong|NNC|CCP |LAGALAG|JJD |KINABAN|VBOF,0
|PAPARAON|RBW |INING|NNC |TAWO|CCB sakong|JJD|CCP linalang|NNC|CCP |ASIN|NNC |AN|DTC |HAYOP|NNC |PATIN|JJD |AN|DTC |GAMGAM|FW |HULI|RBW |TA|NNCA |NAGBABASOL|VBTR |KUN|FW |TADAW|FW |TA|FW |GINIBO|FW |PA|RBI |SINDA|NNC,0
|NAGPADAGOS|VBTS |PAGIBABA|VBW |AN|DTC |TUBIG|NNC |KAYA|CCR |ENOT|FW |ALDAW|FW |KAN|FW ikasampolong|JJN|CCP |BULAN|NNC nahiling|VBTS|CCP |AN|DTC |ALITOKTOK|NNC |KAN|RBW |KABUKIDAN|NNC,0
pagkabanggi|RBD|CCP |NAGBALIK|VBTS |SAIYA|NNC |AN|DTC |SALAMPATI|NNC |DARANG|CCT bagong|JJD|CCP |DAHON|NNC |NIN|FW |OLIBA|FW saiyang|NNC|CCP |TUKA|NNC,0
|ILUWAS|VBOF |MAN|RBI |NINDO|RBM |AN|DTC |GAMGAM|NNC |ASIN|NNC |HAYOP|NNC |TANGANING|JJD |MAGDAKUL|RBW |DANGAN|NNC |MAGLAKOP|VBAF |SINDA|JJN |BILOG|JJD |DAGA|NNC,0
|DANGAN|CCB grupogrupong|NNC|CCP |NAGRULUWAS|VBTR |MAN|RBI |ARKA|NNCA |AN|DTC |GABOS|NNC |HAYOP|NNC |ASIN|NNC |GAMGAM|FW |SOSOG|FW |MANLAENLAEN|FW |KLASE|NNC |NINDA|NNC,0
|SAGKOD|NNC |YAON|RBW |PA|RBI |AN|DTC |KINABAN|FW |MAGKAKAIGWA|FW |NIN|FW |PANAHON|NNC |NIN|FW |PAGTANOM|FW |ASIN|NNC |PAGANI|NNC |NIN|FW |LIPOT|FW |ASIN|NNC |INIT|NNC |NIN|FW |TIGINIT|FW |ASIN|NNC |TIGURAN|VBOF |NIN|FW |ALDAW|FW |ASIN|NNC |BANGGI|NNC,0
|ITATAO|VBTF |SAINDO|NNC |BILANG|CCT |KAKANON|VBTF |AN|DTC lambang|JJD|CCP linalang|NNC|CCP |BUHAY|NNC |KAIBA|JJD |AN|DTC berdeng|JJD|CCP |TINANOM|FW |ITINATAO|FW |SAINDO|FW |AN|DTC |GABOS|NNC,0
|NAGTUTUBOD|VBTR |KA|PRS |BAYA|PRS tawong|NNC|CCP |LIPOD|NNC,0
|KAYA|CCR daeng|NNC|CCP nahihiling|VBTR|CCP |KAN|NNC |SATONG|NNC |MATA|NNC,0
|MALA|JJD igwa|JJN|CCP daang|NNC|CCP |NAHIHILING|VBTR |HIGOD|NNC,0
|UGARING|FW |DAI|FW |MAN|FW akong|PRS|CCP |NAKAKASABATAN|VBTR,0
|NAGTUTUBOD|VBTR |KA|PRS |BAYA|PRS |ISTORYA|NNC |KAN|RBW |IBA|PRI,0
|MANUNGOD|FW |KAPRE|FW |ASWANG|FW |TIKBALANG|NNC,0
|MAKANGALAS|VBW |MAN|RBI |AN|DTC |BAGAY|NNC |AN|DTC,0
|TUNAY|RBT |AN|DTC |UTIKUTIK|NNC |MAN|RBI,0
|PERO|CCT |MATUBOD|VBW |KA|PRS |SABIHON|VBOF |UNING|FW |TIGTATAGO|FW,0
|BAKO|VBS |INI|FW |HUNAHUNA|FW |LALO|JJCC |BAKO|RBM |INI|FW |KURUKARWAR|FW,0
ipapahiling|VBTR|CCP |IMO|RBD |AN|DTC sakong|JJD|CCP |NAMAMATI|VBTR,0
|PAG|CCR |MAHILING|FW |MAGTUBOD|FW |KA|PRS,0
|DAI|FW |NAKAHIRO|VBTS |KAN|CCB nag|PRSP|CCP |TABITABI|NNC,0
|KAYA|CCR |NAIGO|VBTS |KAN|RBW nahiling|VBTS|CCP takang|NNC|CCP |BIYO|NNC,0
|MAS|JJCC |KAYA|CCR |MAKAHILING|VBW |NING|FW |MALIGNO|NNC,0
|KAYSA|JJC |MAHILING|JJD kang|PRS|CCP |KAIBA|PRI kang|PRS|CCP |IBA|PRI,0
|MARI|RBM pinagluto|VBTR|VBRF |TA|NNCA |KA|PRS,0
igwang|VBOF|CCP |LAING|FW |SILING|FW |LABYU|FW,0
|LILIBUTON|FW |NIYATONG|FW |DUWA|FW |AN|DTC |KABIKOLAN|NNC,0
|GARO|RBM |KA|PRS |MAYON|NNC |MAGAYON|VBW,0
daing|JJD|CCP ibang|PRI|CCP |MUMUYAHON|FW |KUNDI|CCT |IKA|JJN,0
|SAGKOD|CCB |PA|RBI |MAN|RBI |KITA|NNC maggurang|VBW|CCP,0
daing|JJD|CCP ibang|PRI|CCP |PAPADABAON|VBTF |PA|RBI |KUNDI|CCT |IKA|JJN,0
|KUMUSTA|VBAF |PAHINGALO|RBD |MARABASON|JJD |KITA|NNC,0
|BINAKALAN|VBTR |TA|JJN kang|PRS|CCP |PILI|JJD |NUT|FW |ASIN|NNC,0
|NAPAUGMA|VBTS |TA|NNC kang|PRS|CCP |MARAY|NNC,0
|INI|FW |PA|FW |LAN|FW |NGUNYAN|FW |AN|DTC |KAYA|CCR kong|PRS|CCP |GIBUHON|NNC,0
|PANO|RBQ |PA|RBI |KAYA|CCR |KUN|NNC |SABIHON|NNC,0
|DAI|FW |TAKA|FW |MAN|FW |WAWARAON|FW,0
|TA|NNCA |DAI|FW |IMONG|FW |MABAYA|NNC,0
|SABAY|RBD niyatong|RBD|CCP |HAHAMPANGON|VBTF |AN|DTC nakaabang|VBTS|CCP |PILIGRO|NNC,0
|DULAGAN|VBTF |TA|NNCA |AN|DTC |MARIBUKON|FW |KINABAN|FW,0
|DAWA|FW |ABUTON|FW |PA|RBI |KITA|NNC |NIN|FW |KADIPISILAN|NNC,0
|DAI|FW |NANGGAD|RBD |IKA|JJN |BUBUTASAN|NNC,0
|PWEDE|VBS |NGANI|FW |INI|FW |LALAYUGON|FW,0
|TUNGAG|FW |TUNGAGON|FW |PA|RBI |MAN|RBI |INI|FW |KUYA|NNC |LAPA|NNC |KAUYAM|NNC,1
|NAZALLYY|VBTS |GT|FW |MATARAY|JJD |GT|NNCA |NAPANSIN|VBTS |AGAD|RBW |CHEEKS|FW |GT|FW |ARTEHON|FW |GT|FW |TUNGAGTUNGAGON|FW |HAHAHA|FW,1
|TIAN|FW |AMO|FW |KADANGAGAN|FW |BWAY|FW |NINANYA|FW |IMBIS|CCT |DIDI|RBF |PA|RBI |MAALI|JJD |NANAMAN|VBTS akong|PRS|CCP |ATAB|NNC,1
|ALLENLYKAJOY|FW |KADANGAGAN|FW |BAYA|FW |DAI|FW |TIG|FW |ISIP|NNC |PWEDE|RBT |MANGYARE|FW |SAIYA|NNC,1
|HINDUTIN|VBOF |HAHAHA|FW |PARUTON|FW |LINTIAN|FW,1
|PARANG|CCT |AKALA|VBS |GALING|RBL |GALING|RBL |BA|RBI |NAGAWA|VBTS |NINDO|CCT kamong|JJD|CCP |GABOS|FW |BIREKOLANONG|FW |POLITICIAN|FW |START|FW |KAMO|FW |KAY|DTP |LENI|FW |LAGMAN|FW |IKA|JJN |TRILLANES|FW |D|PMS |MAYO|JJD |NGANI|FW kamong|NNC|CCP naitabang|VBTS|CCP |AGRI|FW |MARAY|FW |PA|RBI |D|PMS |NAPAGIBO|VBTS |AIRPORT|FW |ALBAY|FW |DAE|FW |KAMO|FW |NASUSUPOG|FW |PIRMI|FW kamong|JJD|CCP |KONTRA|NNC |PARUTON|NNC,1
|PARUTON|FW |ALECO|FW |WARA|FW talagang|RBT|CCP |PAGASA|NNC |BURAY|NNC |NI|DTP |AMA|NNC |NYA|PRS,1
|MASIRAMON|VBTF kang|PRS|CCP |PALAGATAKON|RBL |KI|FW |PAIRAROM|FW,1
|ARAM|FW |MISTER|FW |PATALON|FW |BOBONG|FW |PABIBO|NNC,1
|ARAM|FW |MO|PRS |SU|FW |WORD|FW |NA|CCP |RESPETO|NNC |NAGPAPATAL|VBTR |PATALAN|RBD |KALANG|RBW |TALAGA|RBT,1
|SARUI|JJD |PA|RBI |INING|NNC |KULAPOS|NNC |INI|FW |OH|FW,1
|GIGIBUHON|VBTR kang|PRS|CCP inasal|VBTS|VBOF |PATAL|FW |BOBO|FW,1
|PAKALAYUHI|RBD |NINDO|JJD |INING|NNC |PATAL|RBD |INI|FW |OH|FW,1
|IKA|JJN |MADESISYON|VBW kang|PRS|CCP |BUHAY|NNC |SAEN|NNC |GUSTO|VBS |MAPADUMAN|VBW |PALPAL|NNC,1
|ARAM|RBD |TAMA|RBT |BUDA|NNC |SALA|NNC |KA|PRS |PATAL|JJD |PARA|CCT |DAE|RBS |AN|DTC |MAARAMAN|NNC,1
|YAON|RBW |KA|PRS |DGDI|RBF |TA|NNCA |PATAL|FW |KA|PRS |PUNDIHAN|VBOF |NINDO|VBTS kang|PRS|CCP |KALOKOHAN|NNC |NINDONG|VBTS |AN|DTC,1
|IMPYERNO|NNC |APOD|FW |DGDI|FW |ANG|DTC harong|NNC|CCP kang|PRS|CCP |NAGPINATAL|VBTR,1
|YUP|FW |TIGBAK|FW |KANA|FW |PATAL|FW,1
|BUGAY|FW |GARE|FW |TIG|FW |IRINITAN|FW |KANA|FW |JAN|FW,1
|PINTURAHAN|JJN |BILOG|JJD impyernong|NNC|CCP |PATAL|JJD |KA|PRS,1
|JUAN|FW |DAENG|FW |KULDAS|FW |NAGADAN|VBTS |KATANGAHAN|NNC,1
|DAE|FW |KAPA|FW |BURAT|FW |BUHAY|NNC |KAPA|NNC |KUTANG|NNC |KULAPOS|NNC |KA|PRS |MASIMBAG|VBW |KAPA|NNC,1
|TARANTADO|JJD |KA|PRS |DAE|FW |PAG|CCR |PARA|CCT |PILISOPOHON|FW |DGDI|FW |TA|FW |SUKIKION|FW |TAKA|NNC,1
|APOD|RBR lalaking|NNC|CCP |AROG|FW |PALPAL|FW,1
|NEXT|FW |TIME|FW |PADARHAN|FW |MAN|FW akong|PRS|CCP |MARAY|FW |MARAY|FW |BURAYNINANIYANG|FW |PINAPADARA|VBTR |SAKUYA|NNC |HAMAG|NNC,1
|TIAN|RBM |MAN|RBI |PINAPADARA|VBTR |KAINI|FW |SAKUYA|FW |MAS|JJCC |REJECT|JJD |PA|RBI |REJECT|NNC,1
|BUGAY|FW |HALAT|FW |PADI|FW |MAPAARAM|FW |MUNA|RBI |BATA|JJD |PADE|NNC,1
|BURAY|FW |NAMAN|RBI |MAGPAPAARAM|VBW |PA|RBI |DAE|RBS |KANA|JJCC |MAGPAARAM|VBAF |KAMI|PRP |NGANI|FW |DAE|FW |MAN|FW |NAG|FW |PAARAM|FW,1
|BUGAY|FW |ATCHAN|FW |NGANI|FW |IYANG|FW |SELPON|FW |IYAN|PRO nag|PRSP|CCP |IIRINUMAN|VBTF |PWERTI|FW |SELPON|FW,1
|TIAN|FW |MAN|FW |GARO|FW |MAN|FW |INI|FW |BAKLA|NNC |MAGAYON|VBW |INI|FW |PADI|FW,1
|BUGAY|CCT |DAE|FW |PADI|FW |MA|CCP |PULI|FW |PADE|FW |TA|FW |BATA|NNC |NAGHAHALAT|VBTR |DUMAN|VBAF,1
|BUGAY|FW |ULAYAN|FW |KAMI|PRP |PADI|RBF kang|PRS|CCP |BATA|NNC |PADI|NNC |HANGGANG|RBW |ALA|NNC |UNA|CDB,1
|READY|FW |PUTANGINA|FW |DUMAN|FW |KA|PRS |MUNA|RBI,1
|BADILON|NNC takang|NNC|CCP |HAYOP|NNC |KA|PRS |DUMAN|PRI,1
|BUGAY|FW |SARO|FW |PA|RBI |IYAN|PRO |GRABE|FW |PATOS|FW |GANG|FW |IYAN|PRO,1
|BUGAY|CCT |MALALA|VBW |YANG|PRO |MUKBANGERS|FW |IYAN|PRO,1
|TIAN|RBM |MAN|RBI |TA|NNCA |NAKIFIESTA|VBTR |AN|DTC |JOLLIBEE|FW |TSKA|NNC |MCDO|NNC,1
|HMM|FW |HAROT|FW |HALOY|FW |URULIAN|FW,1
|BUGAY|FW |SWEEPERS|FW |KA|PRS |OWRIGHT|FW,1
|LAMPASO|NNC |BAGA|NNC |INI|FW |CLASSROOM|FW |HA|FW |DIPUNGAL|FW,1
|BUGAY|FW |PASS|FW |MUNA|RBI |PADIMINASIBA|VBW |PA|RBI |BASOG|JJD |PA|RBI,1
|IYO|PRSP |AN|DTC |TUBIG|NNC |LININANIYA|NNC |HUNA|FW |SU|FW kastang|PRI|CCP |MINERAL|NNC,1
|HAROT|FW |NGUNGUON|FW |AN|DTC |DGDI|NNC,1
|DAE|FW |HAROT|FW |MO|PRS |PABAKALAN|RBL |KITA|NNC kang|PRS|CCP |PAGKA|NNC durudakulang|VBTRVBAF|CCP |TUBIG|NNC,1
|BUGAY|CCT |IKA|JJN |IKA|JJN |PINAKA|JJCS |MAURAG|VBW |DIYAN|PRL,1
|BUGAY|FW |OVER|FW |THE|FW |BAKOD|NNC |MAN|RBI |GIRARAY|VBOF |PAGPALUWAS|NNC,1
|BUGAY|FW |PAREHO|JJC |KITA|NNC nag|PRSP|CCP |BAGO|RBW |NAMAN|RBI,1
|KAPUON|NNC |PUON|NNC |PA|RBI kang|PRS|CCP |KLASE|NNC |MAPAKICKOUT|VBW |TULOS|FW |HAMAGAN|FW |INI|FW,1
|REALTALKON|FW |TAKA|FW |BUGAY|FW |BAGO|RBW |KANA|NNC |MAN|RBI |KA|PRS |NAMAN|RBI,1
|BOY|FW |DAE|FW |MAKATUBOD|FW |NAKAPASA|VBTS |BUGAY|FW |KADAKOL|FW akong|PRS|CCP nag|PRSP|CCP |KARILINGAWAN|NNC |NIREVIEW|NNC,1
